"LBSV" "Res.Thresh.Dif" "correlation" "mean" "delta.mean"
"70" 930000 -3.15 0.68737131357193 0.453360691144708 -0.0661987041036717
"71" 952500 -3.15 0.686580240726471 0.454358531317495 -0.0652008639308855
"72" 975000 -3.15 0.686125338077545 0.455408207343413 -0.0641511879049676
"73" 997500 -3.15 0.683532059192657 0.456401727861771 -0.0631576673866091
"74" 1020000 -3.15 0.68258148431778 0.457300215982721 -0.0622591792656588
"75" 1042500 -3.15 0.681415438652039 0.458241900647948 -0.061317494600432
"76" 1065000 -3.15 0.678892195224762 0.458859611231102 -0.0606997840172786
"77" 1087500 -3.15 0.67836320400238 0.459390928725702 -0.0601684665226782
"78" 1110000 -3.15 0.677219927310944 0.459736501079914 -0.0598228941684665
"79" 1132500 -3.15 0.676040291786194 0.460095032397408 -0.0594643628509719
"80" 1155000 -3.15 0.675266623497009 0.460427645788337 -0.0591317494600432
"81" 1177500 -3.15 0.673819303512573 0.460777537796976 -0.0587818574514039
"82" 1200000 -3.15 0.673901677131653 0.460941684665227 -0.0586177105831533
"83" 3e+05 -2.3 0.779216229915619 0.344742980561555 -0.174816414686825
"84" 322500 -2.3 0.809346854686737 0.354012958963283 -0.165546436285097
"85" 345000 -2.3 0.829515278339386 0.362600431965443 -0.156958963282937
"86" 367500 -2.3 0.840443193912506 0.370738660907127 -0.148820734341253
"87" 390000 -2.3 0.846725761890411 0.379503239740821 -0.140056155507559
"88" 412500 -2.3 0.849583268165588 0.386194384449244 -0.133365010799136
"89" 435000 -2.3 0.854502081871033 0.393956803455724 -0.125602591792657
"90" 457500 -2.3 0.855649828910828 0.401140388768899 -0.118419006479482
"91" 480000 -2.3 0.852621793746948 0.407114470842333 -0.112444924406048
"92" 502500 -2.3 0.84672874212265 0.414492440604752 -0.105066954643629
"93" 525000 -2.3 0.834599196910858 0.420894168466523 -0.0986652267818575
"94" 547500 -2.3 0.823638677597046 0.426539956803456 -0.0930194384449244
"95" 570000 -2.3 0.813606083393097 0.431498920086393 -0.0880604751619871
"96" 592500 -2.3 0.79819655418396 0.436578833693305 -0.0829805615550756
"97" 615000 -2.3 0.781763672828674 0.441585313174946 -0.0779740820734341
"98" 637500 -2.3 0.772584736347198 0.445602591792657 -0.0739568034557235
"99" 660000 -2.3 0.764518618583679 0.449088552915767 -0.0704708423326134
"100" 682500 -2.3 0.761274456977844 0.451904967602592 -0.0676544276457883
"101" 705000 -2.3 0.754443466663361 0.455097192224622 -0.0644622030237581
"102" 727500 -2.3 0.750451147556305 0.458038876889849 -0.0615205183585313
"103" 750000 -2.3 0.748180508613586 0.46044060475162 -0.0591187904967603
"104" 772500 -2.3 0.742927372455597 0.463092872570194 -0.0564665226781857
"105" 795000 -2.3 0.73827999830246 0.465421166306695 -0.0541382289416847
"106" 817500 -2.3 0.735804438591003 0.467537796976242 -0.0520215982721382
"107" 840000 -2.3 0.731045186519623 0.469300215982721 -0.0502591792656588
"108" 862500 -2.3 0.725743234157562 0.470846652267819 -0.0487127429805616
"109" 885000 -2.3 0.722719967365265 0.472349892008639 -0.0472095032397408
"110" 907500 -2.3 0.719832003116608 0.473788336933045 -0.0457710583153348
"111" 930000 -2.3 0.715726912021637 0.475343412526998 -0.0442159827213823
"112" 952500 -2.3 0.715052127838135 0.476410367170626 -0.0431490280777538
