"Mead.1000" "Powell.3490" "correlation" "mean" "delta.mean"
"160" 36 3 0.911590456962585 0.662583153347732 0.0930280777537797
"161" 37 3 0.911173522472382 0.665952483801296 0.0963974082073434
"162" 38 3 0.908830106258392 0.66866090712743 0.0991058315334773
"163" 39 3 0.907926917076111 0.670928725701944 0.101373650107991
"164" 40 3 0.904577136039734 0.673740820734341 0.104185745140389
"165" 0 4 0.81091845035553 0.396958963282937 -0.172596112311015
"166" 1 4 0.861207365989685 0.430436285097192 -0.13911879049676
"167" 2 4 0.885935425758362 0.453494600431965 -0.116060475161987
"168" 3 4 0.904210925102234 0.47170626349892 -0.0978488120950324
"169" 4 4 0.925072908401489 0.491166306695464 -0.0783887688984881
"170" 5 4 0.942031860351562 0.504289416846652 -0.0652656587473002
"171" 6 4 0.951064705848694 0.517969762419006 -0.051585313174946
"172" 7 4 0.956366777420044 0.529403887688985 -0.0401511879049676
"173" 8 4 0.974551320075989 0.541123110151188 -0.0284319654427646
"174" 9 4 0.980105519294739 0.550129589632829 -0.019425485961123
"175" 10 4 0.993111670017242 0.559041036717063 -0.0105140388768898
"176" 11 4 0.979629635810852 0.568647948164147 -0.000907127429805588
"177" 12 4 0.973229885101318 0.577015118790497 0.00746004319654425
"178" 13 4 0.967940807342529 0.583913606911447 0.0143585313174946
"179" 14 4 0.966373026371002 0.589844492440605 0.0202894168466523
"180" 15 4 0.962037086486816 0.596332613390929 0.0267775377969762
"181" 16 4 0.95433109998703 0.601153347732181 0.031598272138229
"182" 17 4 0.952094852924347 0.606142548596112 0.0365874730021598
"183" 18 4 0.948495388031006 0.612198704103672 0.0426436285097193
"184" 19 4 0.944815099239349 0.616742980561555 0.0471879049676026
"185" 20 4 0.94227010011673 0.621861771058315 0.0523066954643628
"186" 21 4 0.942464292049408 0.626712742980562 0.0571576673866091
"187" 22 4 0.941852211952209 0.632609071274298 0.0630539956803456
"188" 23 4 0.944013357162476 0.636976241900648 0.0674211663066955
"189" 24 4 0.940856695175171 0.640548596112311 0.0709935205183585
"190" 25 4 0.934960007667542 0.64511879049676 0.0755637149028078
"191" 26 4 0.932365119457245 0.648976241900648 0.0794211663066955
"192" 27 4 0.927097678184509 0.652924406047516 0.0833693304535638
"193" 28 4 0.925182700157166 0.656630669546436 0.0870755939524839
"194" 29 4 0.922158777713776 0.660855291576674 0.0913002159827214
"195" 30 4 0.922512590885162 0.66429373650108 0.0947386609071275
"196" 31 4 0.922003269195557 0.667840172786177 0.0982850971922247
"197" 32 4 0.920839428901672 0.670859611231101 0.101304535637149
"198" 33 4 0.918040215969086 0.674505399568035 0.104950323974082
"199" 34 4 0.915727436542511 0.677524838012959 0.107969762419006
"200" 35 4 0.916684508323669 0.680976241900648 0.111421166306696
"201" 36 4 0.917425870895386 0.684920086393089 0.115365010799136
"202" 37 4 0.916765213012695 0.688501079913607 0.118946004319654
"203" 38 4 0.91508424282074 0.69139524838013 0.121840172786177
"204" 39 4 0.914537668228149 0.693792656587473 0.124237580993521
"205" 40 4 0.91108512878418 0.696760259179266 0.127205183585313
"206" 0 5 0.811363577842712 0.400544276457883 -0.169010799136069
"207" 1 5 0.861667215824127 0.435814254859611 -0.133740820734341
